Date,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ,XLE,XLF,XLK
2018-01-02,40.55549621582031,56.61088180541992,125.1500015258789,89.18252563476562,139.9939727783203,150.7799835205078,238.56874084472656,102.82401275634766,61.95523452758789,52.71885681152344,24.170122146606445,59.98787307739258
2018-01-03,40.944068908691406,56.88261413574219,124.81999969482422,89.27581024169922,140.13955688476562,152.24505615234375,240.07774353027344,103.31562042236328,61.77537155151367,53.508399963378906,24.29997444152832,60.48820877075195
2018-01-04,41.14680099487305,57.50602722167969,125.45999908447266,89.2333755493164,140.51248168945312,152.51141357421875,241.089599609375,103.2991943359375,60.7111930847168,53.83137893676758,24.525056838989258,60.794002532958984
2018-01-05,41.5015869140625,57.82574462890625,125.33000183105469,89.1231918334961,140.80357360839844,154.04307556152344,242.69622802734375,103.00425720214844,60.74118423461914,53.809844970703125,24.59431266784668,61.43334197998047
2018-01-08,41.5015869140625,57.80974197387695,125.30999755859375,89.08084106445312,141.02191162109375,154.64244079589844,243.1400146484375,102.93868255615234,61.05592727661133,54.132843017578125,24.5596866607666,61.665016174316406
2018-01-09,41.43401336669922,57.873680114746094,124.7300033569336,88.65705108642578,140.83084106445312,154.65194702148438,243.69039916992188,101.56217193603516,60.269039154052734,53.99648666381836,24.750133514404297,61.50748825073242
2018-01-10,41.172142028808594,57.76179885864258,125.02999877929688,88.631591796875,140.84906005859375,154.2904510498047,243.31756591796875,101.43927001953125,59.59455108642578,53.931884765625,24.957904815673828,61.29436492919922
2018-01-11,41.425567626953125,58.16141891479492,125.44000244140625,88.69091033935547,143.2686767578125,155.346435546875,245.09278869628906,101.85710144042969,59.3922004699707,55.037208557128906,25.079099655151367,61.5445442199707
2018-01-12,41.82258987426758,58.744873046875,126.95999908447266,88.631591796875,143.86911010742188,156.4880828857422,246.6906280517578,102.02919006347656,58.91254806518555,55.568336486816406,25.30417823791504,61.90592956542969
2018-01-16,41.66209030151367,58.68891525268555,127.16999816894531,88.67399597167969,142.03158569335938,156.0409393310547,245.8473663330078,102.45525360107422,59.02499008178711,54.86494445800781,25.23492431640625,61.665016174316406
2018-01-17,42.211158752441406,58.99263381958008,126.13999938964844,88.47903442382812,143.37783813476562,157.7248077392578,248.19056701660156,102.3159408569336,59.437164306640625,55.34584045410156,25.42538070678711,62.591583251953125
2018-01-18,42.2618408203125,58.92070770263672,125.86000061035156,88.19933319091797,142.39544677734375,157.75338745117188,247.7734832763672,101.365478515625,58.67273712158203,54.89365005493164,25.3907527923584,62.70277786254883
2018-01-19,42.60818862915039,59.24839782714844,126.41999816894531,87.97050476074219,144.26931762695312,158.24810791015625,248.9007568359375,100.8328857421875,58.987510681152344,54.82189178466797,25.572546005249023,62.82326126098633
2018-01-22,42.85315704345703,59.55210876464844,126.6500015258789,87.93663024902344,145.04251098632812,159.94146728515625,250.92453002929688,100.93118286132812,59.5270881652832,56.006187438964844,25.780315399169922,63.434791564941406
2018-01-23,43.0558967590332,59.743934631347656,127.27999877929688,88.19087982177734,145.50640869140625,161.2638702392578,251.45716857910156,101.365478515625,60.35145950317383,55.92003631591797,25.806278228759766,63.7127799987793
2018-01-24,43.419132232666016,59.84783172607422,128.8300018310547,88.0213623046875,144.6058349609375,160.2173614501953,251.35946655273438,100.8165054321289,60.03669357299805,55.7692985534668,25.979415893554688,63.221710205078125
2018-01-25,43.39377975463867,59.616050720214844,127.97000122070312,88.21629333496094,144.66041564941406,160.1602783203125,251.46607971191406,101.64407348632812,59.931785583496094,55.33149337768555,25.927480697631836,63.110496520996094
2018-01-26,43.99354934692383,60.1435546875,128.07000732421875,87.95353698730469,145.17893981933594,162.61480712890625,254.37738037109375,101.26717376708984,59.72193908691406,55.63294219970703,26.117935180664062,64.1112289428711
2018-01-29,43.32619857788086,59.59206771850586,127.3499984741211,87.73319244384766,144.36029052734375,161.8251495361328,252.69097900390625,100.5624771118164,58.92005920410156,54.793182373046875,26.0140438079834,63.5274543762207
2018-01-30,42.73489761352539,59.09653854370117,126.80000305175781,87.52972412109375,142.97760009765625,160.49330139160156,250.09910583496094,99.9725341796875,58.49287033081055,53.68783187866211,25.676429748535156,62.95298385620117
